courseCode,courseName,credits,prerequisites,sequence,courseDescription
SKIP,LOWER DIVISION REQUIREMENTS – 24 Credits Required,,,,
SKIP,Group A: 12 credits,,,,
CGS-1060C,Introduction to Computer Technology & Applications,4,None,,
CGS-1540C,Database Concepts and Design,4,None,,
COP-1334,Introduction to C++ Programming,4,Pre/Co CGS 1060C,,
SKIP,Group B: 4 credits,,,,
CTS-1134,Networking Technologies,4,None,,
CTS-1650,CCNA: Cisco Fundamentals,4,None,,
SKIP,Group C: 8 credits,,,,
SKIP,Transferrable type-1 or type-2 courses,Varies,None,,
,,,,,
,,,,,
SKIP,UPPER DIVISION REQUIREMENTS – 36 Credits Required,,,,
SKIP,Professional Core – 12 Credits Required,,,,
CGS-3763,Operating System Principles,4,Pre COP 1334,,
CIS-3360,Principles of Information Security,4,Pre CTS 1134 or CTS 1650,,
CIS-3510,IT Project Management,4,None,,
SKIP,Discipline Content Core – 24 Credits Required,,,,
CIS-4347,Information Storage Management,4,Pre CGS 1540C,,
CNT-3409C,Network Security,4,Pre CIS 3360,,
CNT-3526C,Wireless and Mobile Networking,4,Pre CTS 1134 or CTS 1650,,
CNT-4603,System Administration and Maintenance,4,Pre CTS 1134 or CTS 1650,,
CNT-4702,Network Design and Planning,4,Pre CIS 3360,,
CTS-4955,Networking Capstone,4,Department Permission Required,,
,,,,,
,,,,,
SKIP,PROGRAM ELECTIVES – 24 Credits Required,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,`,,,,
