course_code,course_name,credits,prerequisites,sequence,course_description,gen_ed,core_ed,elective_ed
ZOO-1010,Zoology,3,Co-Req ZOO 1010L,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
WOH-2022,History of World Civilization from 1789,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
WOH-2012,History of World Civilization to 1789,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
THE-2000,Theatre Appreciation,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
SYG-2000,Introduction to Sociology,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
STA-2023,Statistical Methods,3,Pre-Req MAT 1033 or MGF 1131,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
SPC-2608,Introduction to Public Speaking (Gw),3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
SPC-1017,Fundamentals of Speech Communications (Gw),3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PSY-2012,Introduction to Psychology,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PSC-1515,Energy in the Natural Environment,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PSC-1121,General Education Physical Science,3,Pre-Req MAT 1033,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
POS-2041,American Federal Government,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PHY-2053,Physics (without Calculus) 1,3,"Pre/Co-Req MAC1147, 1114, 1140/PHY2053L",,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PHY-2048,Physics with Calculus 1,4,"Pre/Co-Req HS physics, or PHY1025 or 2053, or dept. approval, and MAC2311/PHY2048L",,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PHY-1025,Physics 1,3,,,,1,0,0
PHY-1020,General Education Physics,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PHI-2604,Critical Thinking/Ethics,3,ENC 1101,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PHI-2010,Introduction to Philosophy,3,ENC 1101,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PCB-2340C,Field Biology,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PCB-2033,Introduction to Ecology,3,Pre-Req PSC1515 or BSC2011,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
OCB-1010,Introduction to Marine Biology,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
MUL-2380,Jazz & Popular Music in America,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
MUL-1010,Music Appreciation,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
MUH-2112,Survey of Music History 2,3,MUH 2111,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
MUH-2111,Survey of Music History 1,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
MAD-2104,Discrete Mathematics,3,"Pre-req MAC 1106, MAC 1140, or MAC 1147",,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
MAD-1100,Discrete Mathematics for Computer Science,3,Pre-req MAC 1105,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
MAC-2311,Calculus 1,3,,,,1,0,0
MAC-1105,College Algebra,3,Pre-Req MAT 1033,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
LIT-2120,A Survey of World Literature 2,3,"ENC 1101, 1102",,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
LIT-2000,Introduction to Literature,3,ENC 1101,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
ISS-1161,The Individual in Society,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
ISS-1120,The Social Environment,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
IND-1130,History of Interiors 2,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
IND-1100,History of Interiors 1,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
HUN-1201,Essentials of Human Nutrition,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
HUM-1020,Introduction to Humanities,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
EVR-1001,Introduction to Environmental Science,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
ESC-1000,General Education Earth Science,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
ENC-1102,English Composition 2 (Gw),3,Pre-Req ENC 1101,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
ENC-1101,English Composition 1 (Gw),3,Appropriate college placement,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
ECO-2023,Principles of Economics (Micro),3,Pre-Req MAT 1033,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
ECO-2013,Principles of Economics (Macro) (Gw),3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
DEP-2000,Human Growth and Development,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
DAN-2130,Dance History 1,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
DAN-2100,Dance Appreciation,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
CTS-4955,Networking Capstone,4,Department Permission Required,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
CTS-3452,Business Intelligence,4,Department Consent Required,,,0,0,1
CTS-2652,Ccna 3: Advanced Routing And Switching,4,CTS1651,,,0,0,1
CTS-2466C,Internet of Things (IoT) Development with C#,4,CEN2211,,,0,0,1
CTS-2451,Business Intelligence: Integration Services & Reporting,4,CTS1437 or CTS2433,,,0,0,1
CTS-2450,Business Intelligence: Analysis Services And Data Mining,4,CTS1437 o r CTS2433 or CTS2451,,,0,0,1
CTS-2433,Microsoft Sql Implementation,4,,,,0,0,1
CTS-2375C,Cloud Infrastructure And Services,4,Prerequisite of CTS 1145; Corequisite CTS 2960,,,0,0,1
CTS-2314,Network Defense and Countermeasures,4,CTS1120 and CTS1134 or CTS1650,,,0,0,1
CTS-2306,Windows Networking Services,4,,,,0,0,1
CTS-2303,Windows Server Administration,4,,,,0,0,1
CTS-2192C,Microsoft Azure Administration,4,,,,0,0,1
CTS-2154,IT Help Desk Support,4,"CGS 1060, CGS 2108",,,0,0,1
